pokemonId,latitude,longitude,appearedLocalTime,cluster
10,39.751346,-84.087630,2016-09-07T22:46:41,4
29,48.744764,2.401226,2016-09-07T22:46:38,3
19,39.761770,-84.051392,2016-09-07T22:46:38,4
41,-37.576977,143.864937,2016-09-07T22:46:38,0
63,32.835859,-83.639623,2016-09-07T22:46:38,4
41,53.000960,6.556488,2016-09-07T22:46:37,3
13,35.148460,-120.649694,2016-09-07T22:46:36,2
133,20.479181,-97.450601,2016-09-07T22:46:34,2
41,43.774213,-79.213084,2016-09-07T22:46:33,4
16,40.979915,-81.308694,2016-09-07T22:46:33,4
39,32.835787,-83.638210,2016-09-07T22:46:31,4
116,40.923030,9.511255,2016-09-07T22:46:31,3
21,41.605059,-87.842505,2016-09-07T22:46:27,4
72,40.923717,9.513340,2016-09-07T22:46:27,3
74,26.230938,-98.196224,2016-09-07T22:46:25,2
86,43.772881,-79.208412,2016-09-07T22:46:23,4
19,36.856151,-121.421020,2016-09-07T22:46:22,2
116,-22.915848,-43.255966,2016-09-07T22:46:21,1
129,38.857621,-77.345947,2016-09-07T22:46:20,4
19,52.999617,6.560969,2016-09-07T22:46:18,3
56,25.723007,-100.375538,2016-09-07T22:46:18,2
98,43.774438,-79.214670,2016-09-07T22:46:17,4
19,32.834331,-83.635466,2016-09-07T22:46:17,4
21,47.661906,-122.298579,2016-09-07T22:46:17,2
21,38.855561,-77.341820,2016-09-07T22:46:16,4
13,52.994378,6.550549,2016-09-07T22:46:16,3
19,48.583035,7.746594,2016-09-07T22:46:15,3
19,52.994521,6.549491,2016-09-07T22:46:14,3
13,39.524321,-84.366322,2016-09-07T22:46:14,4
21,35.148753,-120.653109,2016-09-07T22:46:14,2
41,39.524707,-84.360982,2016-09-07T22:46:13,4
56,25.707991,-100.355447,2016-09-07T22:46:09,2
96,52.996082,6.562416,2016-09-07T22:46:08,3
74,43.771801,-79.210263,2016-09-07T22:46:05,4
16,52.169098,5.289648,2016-09-07T22:46:04,3
41,-37.576394,143.862051,2016-09-07T22:46:02,0
46,36.853770,-121.421377,2016-09-07T22:46:00,2
35,42.279227,-87.835059,2016-09-07T22:45:58,4
60,49.255101,14.717455,2016-09-07T22:45:54,3
13,39.747317,-84.088868,2016-09-07T22:45:54,4
16,-22.919110,-43.252264,2016-09-07T22:45:54,1
14,36.855772,-121.421020,2016-09-07T22:45:52,2
48,35.148370,-120.651132,2016-09-07T22:45:48,2
23,48.743222,2.403636,2016-09-07T22:45:48,3
21,48.603662,7.744189,2016-09-07T22:45:48,3
16,36.853783,-121.420037,2016-09-07T22:45:46,2
19,39.649554,-77.711182,2016-09-07T22:45:44,4
10,-37.576326,143.862476,2016-09-07T22:45:43,0
41,52.402733,16.926407,2016-09-07T22:45:39,3
16,29.974522,-90.234983,2016-09-07T22:45:37,4
19,48.584483,7.747283,2016-09-07T22:45:36,3
29,41.072269,-81.469050,2016-09-07T22:45:35,4
77,48.743080,2.402923,2016-09-07T22:45:35,3
16,-22.921354,-43.251357,2016-09-07T22:45:31,1
46,36.854607,-121.423699,2016-09-07T22:45:31,2
32,52.168968,5.292531,2016-09-07T22:45:30,3
61,48.748041,2.402204,2016-09-07T22:45:30,3
16,38.975191,-77.533056,2016-09-07T22:45:26,4
35,39.522881,-84.369853,2016-09-07T22:45:26,4
